iter	Passed	Remaining
0	57	57155
1	57	28705
2	57	19232
3	58	14491
4	58	11636
5	58	9731
6	58	8369
7	59	7345
8	59	6549
9	59	5912
10	59	5390
11	60	4956
12	60	4588
13	60	4273
14	60	4002
15	61	3763
16	61	3552
17	61	3364
18	61	3197
19	62	3047
20	62	2910
21	62	2787
22	62	2674
23	63	2570
24	63	2474
25	63	2386
26	63	2304
27	64	2229
28	64	2158
29	64	2092
30	64	2030
31	65	1972
32	65	1918
33	65	1866
34	65	1818
35	66	1772
36	66	1729
37	66	1687
38	66	1648
39	67	1610
40	67	1575
41	67	1543
42	67	1511
43	68	1480
44	68	1450
45	68	1422
46	68	1395
47	69	1369
48	69	1345
49	69	1322
50	69	1300
51	70	1278
52	70	1258
53	70	1238
54	70	1219
55	71	1201
56	71	1184
57	71	1167
58	72	1151
59	72	1136
60	72	1120
61	73	1105
62	73	1090
63	73	1075
64	73	1061
65	74	1047
66	74	1034
67	74	1019
68	74	1006
69	74	994
70	75	982
71	75	971
72	75	960
73	75	949
74	76	939
75	76	928
76	76	918
77	76	908
78	77	898
79	77	889
80	77	879
81	77	870
82	78	861
83	78	853
84	78	843
85	78	835
86	78	825
87	78	817
88	79	810
89	79	802
90	79	795
91	79	787
92	80	780
93	80	774
94	80	767
95	80	760
96	81	754
97	81	747
98	81	741
99	81	735
100	81	729
101	82	722
102	82	716
103	82	710
104	82	705
105	82	699
106	83	694
107	83	688
108	83	683
109	83	678
110	84	673
111	84	668
112	84	664
113	85	660
114	85	657
115	85	652
116	85	648
117	86	645
118	86	641
119	86	637
120	87	633
121	87	629
122	87	624
123	87	621
124	88	617
125	88	613
126	88	609
127	88	605
128	89	602
129	89	598
130	89	594
131	89	591
132	90	587
133	90	583
134	90	580
135	90	576
136	91	573
137	91	569
138	91	566
139	91	562
140	91	559
141	92	556
142	92	553
143	92	549
144	92	546
145	92	543
146	93	540
147	93	537
148	93	534
149	93	531
150	94	528
151	94	526
152	94	523
153	94	520
154	94	517
155	95	515
156	95	512
157	95	509
158	95	507
159	96	504
160	96	502
161	96	499
162	96	496
163	96	494
164	97	491
165	97	489
166	97	486
167	97	484
168	98	482
169	98	479
170	98	477
171	98	475
172	99	473
173	99	471
174	99	468
175	99	466
176	99	464
177	100	462
178	100	460
179	100	459
180	100	456
181	101	454
182	101	452
183	101	450
184	101	449
185	102	447
186	102	445
187	102	443
188	103	442
189	103	440
190	103	438
191	103	436
192	104	434
193	104	433
194	104	431
195	104	429
196	104	427
197	105	425
198	105	424
199	105	422
200	105	420
201	106	419
202	106	417
203	106	415
204	106	414
205	107	412
206	107	411
207	107	410
208	107	408
209	108	406
210	108	405
211	108	403
212	108	402
213	109	401
214	109	399
215	109	398
216	109	396
217	110	395
218	110	393
219	110	392
220	110	390
221	111	389
222	111	388
223	111	386
224	111	385
225	112	383
226	112	382
227	112	381
228	112	379
229	113	378
230	113	377
231	113	375
232	113	374
233	114	373
234	114	372
235	114	370
236	114	369
237	115	368
238	115	367
239	115	365
240	115	364
241	116	363
242	116	362
243	116	361
244	117	360
245	117	359
246	117	358
247	117	357
248	118	356
249	118	354
250	118	353
251	118	352
252	119	351
253	119	350
254	119	349
255	119	347
256	119	346
257	120	345
258	120	344
259	120	343
260	120	342
261	121	341
262	121	339
263	121	338
264	121	337
265	121	336
266	122	335
267	122	334
268	122	333
269	122	332
270	123	331
271	123	330
272	123	328
273	123	327
274	123	326
275	124	325
276	124	324
277	124	323
278	124	322
279	125	321
280	125	320
281	125	319
282	125	318
283	126	317
284	126	317
285	126	316
286	126	315
287	127	314
288	127	313
289	127	312
290	127	311
291	128	310
292	128	309
293	128	308
294	128	308
295	129	307
296	129	306
297	129	305
298	129	304
299	130	303
300	130	302
301	130	301
302	130	301
303	131	300
304	131	299
305	131	299
306	132	298
307	132	297
308	132	297
309	133	296
310	133	295
311	133	295
312	134	294
313	134	293
314	134	292
315	134	291
316	135	291
317	135	290
318	135	289
319	135	288
320	136	287
321	136	286
322	136	286
323	136	285
324	136	284
325	137	283
326	137	282
327	137	282
328	137	281
329	138	280
330	138	279
331	138	278
332	138	278
333	139	277
334	139	276
335	139	275
336	139	274
337	139	274
338	140	273
339	140	272
340	140	271
341	140	271
342	141	270
343	141	269
344	141	268
345	141	268
346	142	267
347	142	266
348	142	265
349	142	265
350	143	264
351	143	263
352	143	263
353	143	262
354	144	261
355	144	260
356	144	260
357	144	259
358	144	258
359	145	258
360	145	257
361	145	256
362	145	256
363	146	255
364	146	254
365	146	254
366	146	253
367	147	252
368	147	252
369	147	251
370	148	251
371	148	250
372	148	249
373	148	249
374	149	248
375	149	247
376	149	247
377	149	246
378	150	246
379	150	245
380	150	244
381	150	244
382	151	243
383	151	242
384	151	242
385	151	241
386	152	240
387	152	240
388	152	239
389	152	239
390	153	238
391	153	237
392	153	237
393	153	236
394	154	236
395	154	235
396	154	234
397	154	234
398	155	233
399	155	232
400	155	232
401	155	231
402	155	231
403	156	230
404	156	229
405	156	229
406	156	228
407	157	227
408	157	227
409	157	226
410	157	226
411	158	225
412	158	225
413	158	224
414	158	223
415	159	223
416	159	222
417	159	222
418	159	221
419	159	220
420	160	220
421	160	219
422	160	219
423	160	218
424	161	218
425	161	217
426	161	217
427	162	216
428	162	216
429	162	215
430	163	215
431	163	214
432	163	214
433	164	214
434	164	213
435	164	213
436	165	212
437	165	212
438	165	211
439	165	211
440	166	210
441	166	209
442	166	209
443	166	208
444	167	208
445	167	207
446	167	207
447	167	206
448	167	206
449	168	205
450	168	204
451	168	204
452	168	203
453	169	203
454	169	202
455	169	202
456	169	201
457	169	201
458	170	200
459	170	200
460	170	199
461	170	199
462	171	198
463	171	198
464	171	197
465	171	196
466	172	196
467	172	195
468	172	195
469	172	194
470	173	194
471	173	193
472	173	193
473	173	192
474	174	192
475	174	191
476	174	191
477	174	190
478	175	190
479	175	189
480	175	189
481	175	188
482	176	188
483	176	187
484	176	187
485	176	186
486	177	186
487	177	186
488	177	185
489	177	185
490	178	184
491	178	184
492	178	183
493	178	183
494	179	182
495	179	182
496	179	181
497	179	181
498	180	180
499	180	180
500	180	179
501	180	179
502	181	178
503	181	178
504	181	178
505	181	177
506	182	177
507	182	176
508	182	176
509	182	175
510	183	175
511	183	174
512	183	174
513	183	173
514	184	173
515	184	172
516	184	172
517	184	171
518	185	171
519	185	171
520	185	170
521	185	170
522	185	169
523	186	169
524	186	168
525	186	168
526	186	167
527	187	167
528	187	166
529	187	166
530	187	165
531	188	165
532	188	165
533	188	164
534	188	164
535	189	163
536	189	163
537	189	162
538	189	162
539	189	161
540	190	161
541	190	160
542	190	160
543	191	160
544	191	159
545	191	159
546	191	158
547	191	158
548	192	157
549	192	157
550	192	157
551	193	156
552	193	156
553	193	156
554	194	155
555	194	155
556	194	154
557	195	154
558	195	154
559	195	153
560	195	153
561	196	152
562	196	152
563	197	152
564	197	151
565	197	151
566	198	151
567	198	150
568	198	150
569	198	149
570	199	149
571	199	149
572	199	148
573	199	148
574	200	147
575	200	147
576	200	147
577	200	146
578	201	146
579	201	145
580	201	145
581	201	144
582	201	144
583	202	144
584	202	143
585	202	143
586	202	142
587	203	142
588	203	141
589	203	141
590	203	141
591	204	140
592	204	140
593	204	139
594	204	139
595	204	138
596	205	138
597	205	138
598	205	137
599	205	137
600	206	136
601	206	136
602	206	136
603	206	135
604	207	135
605	207	134
606	207	134
607	208	134
608	208	133
609	208	133
610	208	132
611	209	132
612	209	132
613	209	131
614	209	131
615	210	130
616	210	130
617	210	130
618	210	129
619	210	129
620	211	128
621	211	128
622	211	128
623	211	127
624	212	127
625	212	126
626	212	126
627	212	126
628	212	125
629	213	125
630	213	124
631	213	124
632	213	123
633	214	123
634	214	123
635	214	122
636	214	122
637	214	121
638	215	121
639	215	121
640	215	120
641	215	120
642	216	119
643	216	119
644	216	119
645	216	118
646	216	118
647	217	117
648	217	117
649	217	117
650	217	116
651	218	116
652	218	116
653	218	115
654	218	115
655	219	114
656	219	114
657	219	114
658	219	113
659	220	113
660	220	113
661	220	112
662	220	112
663	221	111
664	221	111
665	221	111
666	222	110
667	222	110
668	222	110
669	222	109
670	223	109
671	223	109
672	223	108
673	223	108
674	224	107
675	224	107
676	224	107
677	224	106
678	225	106
679	225	106
680	225	105
681	225	105
682	225	104
683	226	104
684	226	104
685	226	103
686	226	103
687	227	102
688	227	102
689	227	102
690	227	101
691	227	101
692	228	101
693	228	100
694	228	100
695	228	99
696	229	99
697	229	99
698	229	98
699	229	98
700	230	98
701	230	97
702	230	97
703	230	96
704	230	96
705	231	96
706	231	95
707	231	95
708	231	95
709	232	94
710	232	94
711	232	94
712	232	93
713	233	93
714	233	92
715	233	92
716	233	92
717	233	91
718	234	91
719	234	91
720	234	90
721	234	90
722	235	90
723	235	89
724	235	89
725	235	88
726	235	88
727	236	88
728	236	87
729	236	87
730	236	87
731	237	86
732	237	86
733	237	86
734	237	85
735	238	85
736	238	85
737	238	84
738	238	84
739	239	83
740	239	83
741	239	83
742	239	82
743	239	82
744	240	82
745	240	81
746	240	81
747	240	81
748	241	80
749	241	80
750	241	80
751	241	79
752	242	79
753	242	79
754	242	78
755	242	78
756	242	77
757	243	77
758	243	77
759	244	77
760	244	76
761	244	76
762	245	76
763	245	75
764	246	75
765	246	75
766	246	74
767	247	74
768	247	74
769	247	74
770	248	73
771	248	73
772	249	73
773	249	72
774	249	72
775	249	72
776	250	71
777	251	71
778	251	71
779	252	71
780	253	71
781	254	70
782	255	70
783	255	70
784	255	70
785	256	69
786	256	69
787	256	69
788	257	68
789	257	68
790	258	68
791	258	67
