iter	Passed	Remaining
0	63	63272
1	63	31781
2	63	21262
3	64	16024
4	64	12867
5	65	10772
6	65	9267
7	65	8151
8	66	7278
9	66	6577
10	66	6014
11	67	5537
12	67	5143
13	68	4800
14	68	4494
15	68	4225
16	69	3993
17	69	3786
18	69	3597
19	69	3428
20	70	3279
21	70	3139
22	70	3012
23	71	2901
24	71	2796
25	72	2697
26	72	2605
27	72	2520
28	72	2441
29	73	2366
30	73	2301
31	74	2241
32	74	2183
33	74	2128
34	75	2074
35	75	2023
36	76	1978
37	76	1934
38	76	1893
39	77	1851
40	77	1811
41	77	1775
42	78	1742
43	78	1710
44	79	1679
45	79	1650
46	80	1622
47	80	1594
48	80	1567
49	81	1543
50	81	1518
51	82	1495
52	82	1473
53	82	1449
54	83	1427
55	83	1405
56	83	1383
57	84	1364
58	84	1345
59	84	1326
60	85	1310
61	85	1293
62	85	1276
63	86	1262
64	86	1248
65	87	1234
66	87	1220
67	88	1206
68	88	1194
69	88	1181
70	89	1168
71	89	1156
72	90	1145
73	90	1134
74	91	1123
75	91	1111
76	91	1101
77	92	1090
78	92	1079
79	93	1069
80	93	1060
81	93	1050
82	94	1039
83	94	1030
84	94	1022
85	95	1012
86	95	1003
87	96	995
88	96	986
89	96	978
90	97	971
91	97	962
92	97	954
93	98	947
94	98	939
95	99	932
96	99	924
97	99	917
98	100	910
99	100	903
100	100	896
101	101	889
102	101	884
103	101	877
104	102	871
105	102	865
106	103	860
107	103	855
108	103	848
109	104	843
110	104	838
111	105	833
112	105	828
113	105	822
114	106	816
115	106	811
116	106	805
117	107	800
118	107	795
119	107	791
120	108	786
121	108	781
122	108	776
123	109	772
124	109	768
125	110	764
126	110	759
127	110	755
128	111	752
129	111	748
130	112	744
131	112	740
132	112	735
133	113	732
134	113	728
135	114	725
136	114	721
137	114	718
138	115	714
139	115	710
140	116	707
141	116	704
142	116	701
143	117	697
144	117	693
145	118	690
146	118	687
147	118	684
148	119	681
149	119	677
150	120	675
151	120	671
152	120	668
153	121	666
154	121	663
155	121	659
156	122	657
157	122	654
158	123	651
159	123	649
160	123	645
161	124	642
162	124	639
163	125	637
164	125	634
165	125	630
166	125	628
167	126	625
168	126	623
169	127	620
170	127	617
171	127	615
172	128	613
173	128	611
174	129	608
175	129	606
176	129	604
177	130	602
178	130	600
179	131	597
180	131	595
181	132	593
182	132	591
183	132	589
184	133	587
185	133	584
186	134	582
187	134	580
188	134	578
189	135	575
190	135	573
191	135	571
192	136	569
193	136	567
194	137	565
195	137	563
196	137	561
197	138	559
198	138	557
199	139	556
200	139	553
201	139	551
202	139	549
203	140	547
204	140	545
205	141	543
206	141	541
207	141	538
208	141	536
209	142	534
210	142	532
211	142	530
212	142	528
213	143	526
